MGI Gene ID	Gene Symbol	Theiler Stage	Structure Name	MGI anatomy ID	UBERON ID	EMAPA ID	MA ID	MGI Assay ID	MGI Ref ID	PubMed ID
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1920971	1110017D15Rik	23	humerus	4860887	0000976	18468		MGI:4822593	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1916168	1190005I06Rik	23	humerus	4860887	0000976	18468		MGI:4822602	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1926146	1500015O10Rik	23	humerus	4860887	0000976	18468		MGI:4822608	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1922774	1700018C11Rik	23	humerus	4860887	0000976	18468		MGI:4822625	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1913596	1700029P11Rik	23	humerus	4860887	0000976	18468		MGI:4822629	J:153498	21267068
MGI:1919135	2310003H01Rik	23	humerus	4860887	0000976	18468		MGI:4822658	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
MGI:1915527	2310057M21Rik	23	humerus	4860887	0000976	18468		MGI:4822668	J:153498	21267068
