Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:3707232	MGI:1889844	17360554	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3721399	MGI:1890596	17660199	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1861121	MGI:1891831	479550	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1861121	MGI:1891831	16239341	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3717931	MGI:1915115	17626792	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3806990	MGI:1915720	18539921	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3810994	MGI:1915720	18695242	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:5439465	MGI:1915775	23026747	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2387011	MGI:1919638	12194825	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:4829605	MGI:1924393	20089971	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3768254	MGI:1927166	16079159	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3774133	MGI:2140361	17952091	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3722688	MGI:2140945	17652350	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3814573	MGI:2147077	19097194	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:4438609	MGI:2147077	19465597	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:5014347	MGI:2147077	21553379	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3039046	MGI:2176159	15030763	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:4868209	MGI:2442354	20812917	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:4438923	MGI:2442695	19767744	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:5007248	MGI:2443183	21606205	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2684137	MGI:2443471	14597661	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:5315593	MGI:2672118	22206015	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3695425	MGI:2679336	16960803	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:5007063	MGI:2681120	22280990	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3522330	MGI:3522243	15548583	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3800691	MGI:3800690		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856660	MGI:87861		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2180086	MGI:87883	8898228	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2180086	MGI:87883	8898228	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856665	MGI:88001		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2180365	MGI:88075	8710849	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3800577	MGI:88075		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856814	MGI:88260	5548212	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1856815	MGI:88290	3571949	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857275	MGI:88452	7276808	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2152978	MGI:88452	7590256	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2152978	MGI:88452	7590256	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3808759	MGI:88452	21538020	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857275	MGI:88452	"72,768,088,989,518"	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3808759	MGI:88452		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3847803	MGI:88452		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3758741	MGI:88469	17588960	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2445967	MGI:95462	8978698	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
